"Name","Install","Exit","Started","Ended"
"SkinTest","False","0","2026-09-16T21:09:57.2890814+02:00","2026-09-16T21:09:58.9098149+02:00"
"VirtualUnitsPrototype","False","0","2026-09-16T21:10:00.1971854+02:00","2026-09-16T21:10:00.9958254+02:00"
"ActiveAIVDetector","True","0","2026-09-16T21:10:02.1983776+02:00","2026-09-16T21:10:03.1289353+02:00"
"AIAttackTest","True","0","2026-09-16T21:10:04.4003646+02:00","2026-09-16T21:10:05.4393755+02:00"
"AIDefenseTest","False","0","2026-09-16T21:10:06.6304235+02:00","2026-09-16T21:10:07.1616194+02:00"
"BuildingCosts","True","0","2026-09-16T21:10:08.3362049+02:00","2026-09-16T21:10:09.6158289+02:00"
"BuildingLimit","True","0","2026-09-16T21:10:10.7754183+02:00","2026-09-16T21:10:11.9557288+02:00"
"CastlePlanner","True","0","2026-09-16T21:10:13.1179012+02:00","2026-09-16T21:10:18.4486357+02:00"
"CheatMod","True","0","2026-09-16T21:10:19.6407152+02:00","2026-09-16T21:10:20.9703221+02:00"
"EnemyGatePathfindingTest","False","0","2026-09-16T21:10:22.1655225+02:00","2026-09-16T21:10:23.0248735+02:00"
"ExtendedData","True","1","2026-09-16T21:10:24.2428485+02:00","2026-09-16T21:10:27.2334999+02:00"
"ExtendedData","True","0","2026-09-16T21:13:07.5249479+02:00","2026-09-16T21:13:12.2740335+02:00"
"ExtraFeatures","True","0","2026-09-16T21:13:13.5966771+02:00","2026-09-16T21:13:15.0165329+02:00"
"ExtremePowers","True","0","2026-09-16T21:13:16.2964977+02:00","2026-09-16T21:13:18.0351579+02:00"
"ImprovedHunters","True","0","2026-09-16T21:13:19.2673488+02:00","2026-09-16T21:13:20.5667824+02:00"
"MoatMove","False","0","2026-09-16T21:13:21.7898848+02:00","2026-09-16T21:13:23.4905928+02:00"
"OxTetherIdleFixTest","False","0","2026-09-16T21:13:24.6919669+02:00","2026-09-16T21:13:25.3946054+02:00"
"PreplacedTest","False","0","2026-09-16T21:13:26.6246497+02:00","2026-09-16T21:13:29.5569887+02:00"
"RandomEvents","True","0","2026-09-16T21:13:30.8150344+02:00","2026-09-16T21:13:32.3483724+02:00"
"SerpsModsHost","True","0","2026-09-16T21:13:33.5659735+02:00","2026-09-16T21:13:40.3213941+02:00"
"StartConditions","True","0","2026-09-16T21:13:41.5746898+02:00","2026-09-16T21:13:42.6780555+02:00"
"StockpileAccessFixTest","False","0","2026-09-16T21:13:43.8739948+02:00","2026-09-16T21:13:44.3639151+02:00"
"UnitCosts","True","0","2026-09-16T21:13:45.5986126+02:00","2026-09-16T21:13:46.7490120+02:00"
"UnitLimit","True","0","2026-09-16T21:13:47.9531295+02:00","2026-09-16T21:13:49.0819221+02:00"
"BugfixesAndQoL","True","0","2026-09-16T21:13:50.3273757+02:00","2026-09-16T21:14:08.2027272+02:00"
