"Name","Version","Type","Repository","Commit","Location","Url","Status"
"Schlossgespenst-KI-files","1.0.4","plugin","Schlossgespensty/Schlossgespenst-KI-files","362eadd1d3f5f84d660ffaa2c101f67c95fb2677","Schlossgespenst-KI-files-1.0.4","https://codeload.github.com/Schlossgespensty/Schlossgespenst-KI-files/zip/362eadd1d3f5f84d660ffaa2c101f67c95fb2677","downloaded"
"ConqueringChristmas","1.0.1","plugin","Monsterfisch/ConqueringChristmas_-Stronghold1_textures-with-snow-","cc03cf4d47d06657402365987a7699c2cbd27e25","ConqueringChristmas-1.0.1","https://codeload.github.com/Monsterfisch/ConqueringChristmas_-Stronghold1_textures-with-snow-/zip/cc03cf4d47d06657402365987a7699c2cbd27e25","downloaded"
"ConqueringEurope","1.0.0","plugin","Monsterfisch/ConqueringEurope_-Stronghold1_textures-","fb703ff23c4f05b761fbc3dc0dcdaab108d8ff3f","ConqueringEurope-1.0.0","https://codeload.github.com/Monsterfisch/ConqueringEurope_-Stronghold1_textures-/zip/fb703ff23c4f05b761fbc3dc0dcdaab108d8ff3f","downloaded"
"Kirito-Kun","1.0.0","plugin","Xander10alpha/extension-Kirito-Kun-AI","1b24f0b71d411f79ccb028ce88055230f57de677","Kirito-Kun-1.0.0","https://codeload.github.com/Xander10alpha/extension-Kirito-Kun-AI/zip/1b24f0b71d411f79ccb028ce88055230f57de677","downloaded"
"Ascension-AI-Balance","1.0.6","plugin","Krarilotus/Ascension","184749f1432b8330848abc64faf87a4d83090c29","Ascension-AI-Balance-1.0.6","https://codeload.github.com/Krarilotus/Ascension/zip/184749f1432b8330848abc64faf87a4d83090c29","downloaded"
"Ascension-Balance","1.0.3","plugin","Krarilotus/Ascension","184749f1432b8330848abc64faf87a4d83090c29","Ascension-Balance-1.0.3","https://codeload.github.com/Krarilotus/Ascension/zip/184749f1432b8330848abc64faf87a4d83090c29","downloaded"
"Ascension-AI","1.0.0","plugin","Krarilotus/Ascension","184749f1432b8330848abc64faf87a4d83090c29","Ascension-AI-1.0.0","https://codeload.github.com/Krarilotus/Ascension/zip/184749f1432b8330848abc64faf87a4d83090c29","downloaded"
"Ascension-Multiplayer","1.0.4","plugin","Krarilotus/Ascension","184749f1432b8330848abc64faf87a4d83090c29","Ascension-Multiplayer-1.0.4","https://codeload.github.com/Krarilotus/Ascension/zip/184749f1432b8330848abc64faf87a4d83090c29","downloaded"
"Ascension-Maps","1.0.1","plugin","Krarilotus/Ascension","184749f1432b8330848abc64faf87a4d83090c29","Ascension-Maps-1.0.1","https://codeload.github.com/Krarilotus/Ascension/zip/184749f1432b8330848abc64faf87a4d83090c29","downloaded"
"Community-Paket-Files","1.0.1","plugin","Nevikov/Community-Paket-UCP3","1e11f99033c598567145a6597f733945881ba70a","Community-Paket-Files-1.0.1","https://codeload.github.com/Nevikov/Community-Paket-UCP3/zip/1e11f99033c598567145a6597f733945881ba70a","downloaded"
"Community-Paket","1.0.1","plugin","Nevikov/Community-Paket-UCP3","1e11f99033c598567145a6597f733945881ba70a","Community-Paket-1.0.1","https://codeload.github.com/Nevikov/Community-Paket-UCP3/zip/1e11f99033c598567145a6597f733945881ba70a","downloaded"
"Die-neuen-Herrscher","1.0.0","plugin","Hacksuelze/Die-neuen-Herrscher","4a02e6e6cefa730725473c881960f1324c410ffe","Die-neuen-Herrscher-1.0.0","https://codeload.github.com/Hacksuelze/Die-neuen-Herrscher/zip/4a02e6e6cefa730725473c881960f1324c410ffe","downloaded"
"Die-neuen-Herrscher-KI-Files","1.0.0","plugin","Hacksuelze/Die-neuen-Herrscher-KI","080d56188175cb36699b8b980e1d73543dc01fdb","Die-neuen-Herrscher-KI-Files-1.0.0","https://codeload.github.com/Hacksuelze/Die-neuen-Herrscher-KI/zip/080d56188175cb36699b8b980e1d73543dc01fdb","downloaded"
